ds,yhat,yhat_lower,yhat_upper
2021-06-10,395422.0888595152,301741.5414649125,491620.9678660757
2021-06-11,386665.83277545514,282854.69332392537,485184.41903016495
2021-06-12,378587.13089019427,281434.8118660007,484302.74262661836
2021-06-13,370508.40263921756,272994.2332197649,473005.21085525164
2021-06-14,362727.0337828672,261251.35228747752,459171.738349325
2021-06-15,355152.9486824132,255473.89767928587,453874.8130089636
2021-06-16,347914.8701194851,250951.42766946676,450894.20732837496
2021-06-17,340949.88435687503,232464.61989190205,451183.5171649774
2021-06-18,334053.3160939523,230341.08573594195,430356.2437881793
2021-06-19,327828.6512006659,228529.22657684996,433966.44389524235
2021-06-20,331227.3880356874,226876.40616572744,422066.551677046
2021-06-21,335164.58970015583,235466.41183144436,444695.5692394332
2021-06-22,339559.8570742326,238650.02743881638,437046.329016902
2021-06-23,344518.21247393516,246967.72096803464,448739.62392892875
2021-06-24,349972.8016624086,251046.49100923026,455625.970699582
2021-06-25,355711.13626058825,259000.30172308098,452084.684500135
2021-06-26,362296.4932338247,266774.84688891214,459355.52469411143
2021-06-27,369140.87382535095,270301.6594933581,467467.374056767
2021-06-28,376428.921833959,278525.5775817417,474382.7674232165
2021-06-29,384021.54330035584,288347.48667912744,481224.08404910035
2021-06-30,391963.95032947423,299558.70450484223,485959.11359847325
2021-07-01,400133.63281931134,298168.02158390905,502551.80040175794
2021-07-02,408267.8655171989,302540.36495238444,510477.21900298196
2021-07-03,416876.97821231844,318920.784327992,521853.063382749
2021-07-04,425338.51327790285,328703.7517741694,525276.1048051411
2021-07-05,433802.29572895484,339493.48881092854,529678.0047800416
2021-07-06,442106.2503751831,342822.8380446723,541129.8168703177
2021-07-07,450279.7711327858,347629.97419061477,546670.1416492363
2021-07-08,458195.69178160274,362760.9581420411,551357.3182140653
2021-07-09,465597.58781071915,373084.84608935134,569946.147559844
2021-07-10,473003.294544872,374428.5475098806,576244.8143244061
2021-07-11,479818.5381075587,381311.4217896666,582264.2976261514
2021-07-12,486221.3828271835,392049.9657132858,586539.6548557581
2021-07-13,492088.47638078395,396440.47686594946,583042.6408000947
2021-07-14,497492.03363963356,403088.0739982322,594200.4818020938
2021-07-15,502354.2053136696,393592.7597158678,609216.8973882096
2021-07-16,506472.7307408899,407601.1303351594,602207.4930520622
2021-07-17,510413.4596382385,402873.5626377568,608778.2400403583
2021-07-18,513642.4474673921,409938.0935365386,611639.6448248477
2021-07-19,516389.0346850645,418389.7701498129,615105.6809830836
2021-07-20,518582.05777504976,411423.44644233235,612254.0544846269
2021-07-21,520340.27993516164,424683.09199611074,625830.1613116112
2021-07-22,521629.28618671995,418772.6489625312,618972.8036466357
2021-07-23,522285.90468006,421072.48066338716,619258.9974351432
2021-07-24,522900.4225223056,418980.8711906449,625506.4023638541
2021-07-25,522968.08448160265,421635.5143973386,621271.1647014742
2021-07-26,522731.95964251156,426718.5835820364,618850.5303249091
2021-07-27,533238.3992450244,434847.3742985876,630632.9799452302
2021-07-28,543496.9442258246,444002.0854385932,651934.9316707358
2021-07-29,553450.0505089047,456057.4906299365,657718.6523381798
2021-07-30,562891.7286185618,467444.92828888603,661623.8548282599
2021-07-31,572420.1185060954,465844.06707875966,672636.8488577668
2021-08-01,581454.6297086513,477786.7137849625,679967.021070775
2021-08-02,590216.703066608,491342.516649499,693940.2306909539
2021-08-03,598590.6531169185,501671.13143404823,691078.6680406607
2021-08-04,606665.3581965781,497378.21468967537,711452.4654925916
2021-08-05,614347.4723664871,520639.2311494694,712134.4717747751
2021-08-06,621376.1938235369,518793.57850608515,713277.7132777879
2021-08-07,628398.6289209139,529254.106687307,725817.032540483
2021-08-08,634735.0545009447,527588.3083813074,727553.2874200827
2021-08-09,640614.2424549111,542082.8129079193,740997.4443013292
2021-08-10,645891.4041529848,554607.988481415,749678.614628093
2021-08-11,650658.1172845063,545640.1104961216,742726.9384823586
2021-08-12,654810.0205589661,564518.3251474112,752430.4674240607
2021-08-13,658065.8217460372,560582.714508706,762810.2792450632
2021-08-14,661164.5227205498,558838.3537558152,759591.4123183474
2021-08-15,663377.5191687162,565707.1414963847,764416.0140735748
2021-08-16,664996.8830408634,565317.5734660323,762084.9070593689
2021-08-17,665908.5326058655,569300.0505460631,766136.9182402233
2021-08-18,666268.3076203445,570224.9499492514,774205.2825517948
2021-08-19,666021.914813281,570170.6492237381,761693.1486985132
2021-08-20,664925.875168253,575457.8303251959,759817.1365276474
2021-08-21,663864.3207286159,568970.4805508452,765888.4784720753
2021-08-22,662105.7347365059,557954.7901516187,756914.4149468781
2021-08-23,660042.1674839563,561137.3571896857,759643.1170614904
2021-08-24,657615.8562119108,561931.9561567175,756828.7773560178
2021-08-25,655059.9912541496,548737.7464074558,756651.7225272079
2021-08-26,652369.8339852928,556262.5144684389,750864.6149537587
2021-08-27,649324.9532837664,555850.0456977204,746800.216469904
2021-08-28,646925.4081870496,547057.3246042896,743525.4117019889
2021-08-29,644393.4277193919,541999.685414747,741402.2747267439
2021-08-30,642164.3496332541,540352.8045373139,750354.2934214745
2021-08-31,640167.9584430284,546452.1308176654,731189.3962223001
2021-09-01,628810.6485030316,521227.04507446504,730840.0315968867
2021-09-02,618129.9989492865,521488.2846396927,719633.782564796
2021-09-03,607821.0586548903,510143.1251709743,702743.7383729249
2021-09-04,598829.1854006968,503531.5719187011,694911.4150243641
2021-09-05,590245.609863786,496594.876409421,688616.8097202234
2021-09-06,582406.2468797636,479858.4906366616,682091.7699502758
2021-09-07,575127.6202708724,473663.33121106913,675427.0138658062
2021-09-08,568521.149370629,470793.58467839117,667634.7456760657
2021-09-09,562430.9568239499,466266.3814934957,665104.2970015516
2021-09-10,556480.79964377,456300.4307029005,659048.9160127057
2021-09-11,551517.0175981284,450980.30057810596,648676.2382087376
2021-09-12,546594.9211019687,445766.67185077816,646566.230769758
2021-09-13,541990.6138274787,443330.5432773346,642719.7946821558
2021-09-14,537488.8432784525,424181.8809758521,632710.5364068262
2021-09-15,533174.7643405779,421738.08821832645,632549.7447625123
2021-09-16,528888.5942715112,426981.0582917998,621639.7439600987
2021-09-17,524271.4203470464,424732.913350062,621668.4036275877
2021-09-18,520165.25195815566,426422.97882075625,624047.470843919
2021-09-19,515687.4019903697,418443.6716649111,616157.1612541196
2021-09-20,511152.38536889176,410975.86575044825,617480.5193772415
2021-09-21,506408.7450081882,410264.48576986516,596867.3180317801
2021-09-22,501605.4176831023,400466.0750951183,596507.8557292541
2021-09-23,496660.52558801865,403556.54346276686,592030.9406535013
2021-09-24,491303.59753865807,398090.9983373008,587735.0688154408
2021-09-25,486430.5853532341,384068.89372416073,594100.2548805025
2021-09-26,481264.4891122411,381183.82992674236,578029.4407788892
2021-09-27,476186.026215158,375538.3497551786,574416.8226481318
2021-09-28,471118.6123180516,374947.0129188302,568350.9432802238
2021-09-29,466269.0202551578,370693.96469099395,562037.4152440847
2021-09-30,461610.52051569574,367730.1581086929,570124.9290266519
2021-10-01,456922.2445608241,363601.09477985016,556297.0267299891
2021-10-02,453100.3890909249,355899.35294721025,546734.7661158821
2021-10-03,449406.76753251505,359613.1754033296,545750.7771079761
