ds,yhat,yhat_lower,yhat_upper,Country
2020-11-24,41025.38059238196,33446.61933885517,49258.43954193104,India
2020-11-25,41483.727971759414,33822.6183301639,49283.36492722018,India
2020-11-26,41815.75221862918,34668.90271856114,49265.295247730064,India
2020-11-27,42016.60154281942,34985.138821642046,49989.92796729753,India
2020-11-28,42423.35862101848,34916.544794673464,50178.47280723916,India
2020-11-29,42641.33628353367,34929.44011194122,49920.463852984976,India
2020-11-30,42698.87811256464,34373.017478994014,50416.987229836835,India
2020-12-01,42565.61341945211,35018.22326759257,49877.73824405262,India
2020-12-02,42373.35741614942,35289.41874384062,50035.206623738464,India
2020-12-03,41908.714131381916,34249.55139271822,50066.52819428499,India
2020-12-04,41177.589197112786,33451.69485776873,48692.73384543498,India
2020-12-05,40489.17427579284,32357.406042744777,48460.69790177898,India
2020-12-06,39516.18561931825,31435.97305769513,47437.91294684045,India
2020-12-07,38306.54021842843,30308.181129074157,46248.763966644765,India
2020-12-08,36860.54559668547,29453.124723072517,43745.8923177154,India
2020-12-09,35321.89954120247,27809.918875353564,43023.99198142026,India
2020-12-10,33537.90654993853,26107.2504664654,41451.07430006839,India
2020-12-11,31547.987413486335,23997.627705349878,39061.07344695536,India
2020-12-12,29651.735635587575,22090.17028817101,37324.33003685674,India
2020-12-13,27602.38645420571,20017.682710692286,36002.99211507742,India
2020-12-14,25474.780655012266,17351.774458996115,33030.98047908989,India
2020-12-15,23301.047131729385,15971.04059256386,31337.593243466647,India
2020-12-16,21231.423578057733,13444.433097656061,28958.038986050025,India
2020-12-17,19158.59026692006,11017.786498600683,27147.472855820444,India
2020-12-18,17140.985146424548,9319.762388441184,24669.111048679766,India
2020-12-19,15443.803827563306,8109.143105233943,23601.81783752938,India
2020-12-20,13870.362636429563,6118.840685812135,22253.12237703441,India
2020-12-21,12486.746512700662,4561.1927208839625,20411.536266926036,India
2020-12-22,11316.876319505041,3914.558566345888,19384.23602450857,India
2020-12-23,10473.947608151337,2923.223780995713,18521.719289635996,India
2020-12-24,9857.151438272844,2033.5140813592477,17421.987894291928,India
2020-12-25,9489.11162463259,2138.5660478759473,16811.473388423576,India
2020-12-26,9553.603219168843,1866.4891922423328,17597.383544849712,India
2020-12-27,9858.838000560532,2721.2080648482415,17532.451347423743,India
2020-12-28,10419.39583974331,3205.7789309557616,18614.43908025245,India
2020-12-29,11212.213965132652,3352.6291923294943,18684.68937587488,India
2020-12-30,12279.778458520115,4685.871431682509,20165.401403069958,India
2020-12-31,13496.935921035614,5749.913219126474,21204.72968750224,India
2021-01-01,14834.02226357009,6528.535503341093,22088.797370298667,India
2021-01-02,16380.823139622948,8307.558264362326,24526.5282622569,India
2021-01-03,17946.249406542775,10332.506250300023,25262.969093335993,India
2021-01-04,19497.893278669988,11876.016519441242,27213.939185651165,India
2021-01-05,20979.053105608044,13510.378839841134,28525.432750414377,India
2021-01-06,22383.55523793174,14658.528162546136,29983.892403043184,India
2021-01-07,23592.296531266064,16082.153247879745,31313.72746443894,India
2021-01-08,24561.47189018083,16795.98049106738,32045.69616789768,India
2021-01-09,25331.96251162294,17716.383428881407,33410.63237809573,India
2021-01-10,25764.383616680756,17865.538851777346,33354.76097983588,India
2021-01-11,25835.06788107477,18100.09638372722,33779.932507956255,India
2021-01-12,25512.77754971311,18365.295039521843,32787.37775295879,India
2021-01-13,24803.69163270469,17256.55497302971,32024.229083113278,India
2021-01-14,23656.134933657024,16256.848154006007,31597.207546842066,India
2021-01-15,22072.321141137512,14722.751572211302,30094.82788962533,India
2021-01-16,20101.588873993413,12626.177082642103,27386.542170528814,India
2021-01-17,17709.287521414102,9675.28471600653,25414.541657279766,India
2021-01-18,14927.741666361888,7508.99067451275,22570.854346952176,India
2021-01-19,11791.332368265317,3211.3892254025595,19304.269458639264,India
2021-01-20,8350.496943225287,35.216535378047645,15880.594809788367,India
2021-01-21,4643.690497421648,0.0,12610.15497361899,India
2021-01-22,5836.540852192783,0.0,13721.92241250681,India
2021-01-23,7044.818092040847,0.0,14879.10997012265,India
2021-01-24,8240.415723081298,103.88119199384327,15858.901309084355,India
2021-01-25,9404.822091406146,1687.6561353917323,16844.249796475124,India
2021-01-26,10517.94987234822,2869.8063089145094,18075.94016283268,India
2021-01-27,11568.974582545103,4130.845058952532,19508.779989141593,India
2021-01-28,12530.513926887936,4908.982003373688,20480.43214625757,India
2021-01-29,13386.314271444158,5999.7437880801635,21038.156159051778,India
2021-01-30,14145.106532318596,6446.789029225756,22450.117482667258,India
2021-01-31,14773.712276088449,7515.22392202274,22005.386618430835,India
2021-02-01,15265.633072886112,7925.725721262997,23374.711677855455,India
2021-02-02,15613.232638372165,8563.889585693822,22950.66161855451,India
2021-02-03,15826.36978954831,7855.922448640715,23231.199506384044,India
2021-02-04,15887.342334841827,8044.644234240925,23724.558671782474,India
2021-02-05,15798.938355236212,8359.420780776301,23886.488588716365,India
2021-02-06,15601.999220482398,8413.490636644327,23657.59718363289,India
2021-02-07,15270.981872627033,7668.160925275081,22422.87462000771,India
2021-02-08,14821.490834884558,7435.059887476584,22598.382458129647,India
2021-02-09,14265.536122279129,7047.722016404491,21555.352909355253,India
2021-02-10,13637.755667113519,6308.287815368939,21820.467789517803,India
2021-02-11,12930.996656275762,5354.398720384062,20340.51049641303,India
2021-02-12,12164.68634731929,4993.587993525387,20322.919070189106,India
2021-02-13,11406.140563080538,3134.7128691467447,18900.58338996513,India
2021-02-14,10628.703731348322,2649.46270003918,17991.310150408244,India
2021-02-15,9858.425736566378,2183.4797827033917,18112.88830193573,India
2021-02-16,9112.673645311997,1131.5589816202457,16516.526338308693,India
2021-02-17,8434.290721669708,875.2510169021019,15780.5870760453,India
2021-02-18,7808.22276384223,6.804685013246013,15597.601994369343,India
2021-02-19,7250.6661629467235,0.0,14922.45156051081,India
2021-02-20,6834.618098208618,0.0,14336.782093802629,India
